"Remote property injection","Allowing writes to arbitrary properties of an object may lead to denial-of-service attacks.","warning","A property name to write to depends on a [[""user-provided value""|""relative:///PrototypePollutingAssignment_rag_patched.js:6:14:6:26""]].","/PrototypePollutingAssignment_rag_patched.js","9","35","9","36"
"Remote property injection","Allowing writes to arbitrary properties of an object may lead to denial-of-service attacks.","warning","A property name to write to depends on a [[""user-provided value""|""relative:///PrototypePollutingAssignment_rag_patched.js:14:15:14:28""]].","/PrototypePollutingAssignment_rag_patched.js","14","15","14","28"
"Remote property injection","Allowing writes to arbitrary properties of an object may lead to denial-of-service attacks.","warning","A property name to write to depends on a [[""user-provided value""|""relative:///PrototypePollutingAssignment_zero_patched.js:5:14:5:26""]].","/PrototypePollutingAssignment_zero_patched.js","8","35","8","36"
"Remote property injection","Allowing writes to arbitrary properties of an object may lead to denial-of-service attacks.","warning","A property name to write to depends on a [[""user-provided value""|""relative:///PrototypePollutingAssignment_zero_patched.js:12:15:12:28""]].","/PrototypePollutingAssignment_zero_patched.js","12","15","12","28"
"Remote property injection","Allowing writes to arbitrary properties of an object may lead to denial-of-service attacks.","warning","A property name to write to depends on a [[""user-provided value""|""relative:///RemotePropertyInjection_zero_patched.js:7:16:7:39""]].","/RemotePropertyInjection_zero_patched.js","8","8","8","11"
"Resources exhaustion from deep object traversal","Processing user-controlled object hierarchies inefficiently can lead to denial of service.","warning","Denial of service caused by processing [[""user input""|""relative:///DeepObjectResourceExhaustion_zero_patched.js:31:32:31:39""]] with [[""allErrors: true""|""relative:///DeepObjectResourceExhaustion_zero_patched.js:5:21:5:35""]].","/DeepObjectResourceExhaustion_zero_patched.js","31","32","31","39"
"Improper code sanitization","Escaping code as HTML does not provide protection against code injection.","error","Code construction depends on an [[""improperly sanitized value""|""relative:///ImproperCodeSanitization_zero_patched.js:5:31:5:53""]].","/ImproperCodeSanitization_zero_patched.js","6","27","6","36"
"Code injection","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution.","error","Template, which may contain code, depends on a [[""user-provided value""|""relative:///ServerSideTemplateInjection_zero_patched.js:6:17:6:34""]].","/ServerSideTemplateInjection_zero_patched.js","29","26","29","33"
"Second order command injection","Using user-controlled data as arguments to some commands, such as git clone, can allow arbitrary commands to be executed.","error","Command line argument that depends on [[""a user-provided value""|""relative:///second-order-command-injection_zero_patched.js:8:18:8:33""]] can execute an arbitrary command if --upload-pack is used with git.","/second-order-command-injection_zero_patched.js","20","36","20","41"
"Uncontrolled command line","Using externally controlled strings in a command line may allow a malicious user to change the meaning of the command.","error","This command line depends on a [[""user-provided value""|""relative:///command-injection_zero_patched.js:8:26:8:32""]].","/command-injection_zero_patched.js","13","17","13","40"
"Exception text reinterpreted as HTML","Reinterpreting text from an exception as HTML can lead to a cross-site scripting vulnerability.","warning","[[""JSON schema validation error""|""relative:///DeepObjectResourceExhaustion_zero_patched.js:32:17:32:32""]] is reinterpreted as HTML without escaping meta-characters.","/DeepObjectResourceExhaustion_zero_patched.js","32","17","32","32"
"DOM text reinterpreted as HTML","Reinterpreting text from the DOM as HTML can lead to a cross-site scripting vulnerability.","warning","[[""DOM text""|""relative:///XssThroughDom_rag_patched.js:2:18:2:44""]] is reinterpreted as HTML without escaping meta-characters.","/XssThroughDom_rag_patched.js","3","7","3","12"
